,Brand,APPLE,ASUS,Avita,DELL,HP,Lenovo,MSI,acer
217,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
218,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
219,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
220,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
221,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
222,acer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
223,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
224,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
225,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
226,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
227,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
228,MSI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
229,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
230,MSI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
231,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
232,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
233,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
234,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
235,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
236,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
237,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
238,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
239,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
240,acer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
241,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
242,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
243,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
244,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
245,DELL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
246,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
247,MSI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
248,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
249,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
250,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
251,Lenovo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
252,HP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
253,acer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
254,ASUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
