,Weight,Casual,Gaming,ThinNlight
560,Casual,1.0,0.0,0.0
561,Casual,1.0,0.0,0.0
562,Casual,1.0,0.0,0.0
563,Gaming,0.0,1.0,0.0
564,ThinNlight,0.0,0.0,1.0
565,Casual,1.0,0.0,0.0
566,Casual,1.0,0.0,0.0
567,ThinNlight,0.0,0.0,1.0
568,Casual,1.0,0.0,0.0
569,Casual,1.0,0.0,0.0
570,Casual,1.0,0.0,0.0
571,Casual,1.0,0.0,0.0
572,Casual,1.0,0.0,0.0
573,Casual,1.0,0.0,0.0
574,Casual,1.0,0.0,0.0
575,Gaming,0.0,1.0,0.0
576,Casual,1.0,0.0,0.0
577,Casual,1.0,0.0,0.0
578,Casual,1.0,0.0,0.0
579,Casual,1.0,0.0,0.0
580,Casual,1.0,0.0,0.0
581,Casual,1.0,0.0,0.0
582,Casual,1.0,0.0,0.0
583,Casual,1.0,0.0,0.0
584,Casual,1.0,0.0,0.0
585,Casual,1.0,0.0,0.0
586,Casual,1.0,0.0,0.0
587,Casual,1.0,0.0,0.0
588,Casual,1.0,0.0,0.0
589,Casual,1.0,0.0,0.0
590,Casual,1.0,0.0,0.0
591,Casual,1.0,0.0,0.0
592,Casual,1.0,0.0,0.0
593,Casual,1.0,0.0,0.0
594,Casual,1.0,0.0,0.0
595,Casual,1.0,0.0,0.0
596,Casual,1.0,0.0,0.0
597,Casual,1.0,0.0,0.0
598,Casual,1.0,0.0,0.0
599,Casual,1.0,0.0,0.0
600,Casual,1.0,0.0,0.0
601,Casual,1.0,0.0,0.0
602,Casual,1.0,0.0,0.0
603,Casual,1.0,0.0,0.0
604,ThinNlight,0.0,0.0,1.0
605,ThinNlight,0.0,0.0,1.0
606,Casual,1.0,0.0,0.0
607,ThinNlight,0.0,0.0,1.0
608,ThinNlight,0.0,0.0,1.0
609,Casual,1.0,0.0,0.0
610,Casual,1.0,0.0,0.0
611,Casual,1.0,0.0,0.0
612,Casual,1.0,0.0,0.0
613,Casual,1.0,0.0,0.0
614,ThinNlight,0.0,0.0,1.0
615,ThinNlight,0.0,0.0,1.0
616,ThinNlight,0.0,0.0,1.0
617,ThinNlight,0.0,0.0,1.0
618,ThinNlight,0.0,0.0,1.0
619,ThinNlight,0.0,0.0,1.0
620,ThinNlight,0.0,0.0,1.0
621,Casual,1.0,0.0,0.0
622,ThinNlight,0.0,0.0,1.0
623,Casual,1.0,0.0,0.0
624,ThinNlight,0.0,0.0,1.0
625,ThinNlight,0.0,0.0,1.0
626,Casual,1.0,0.0,0.0
627,ThinNlight,0.0,0.0,1.0
628,ThinNlight,0.0,0.0,1.0
629,ThinNlight,0.0,0.0,1.0
630,ThinNlight,0.0,0.0,1.0
631,ThinNlight,0.0,0.0,1.0
632,ThinNlight,0.0,0.0,1.0
633,ThinNlight,0.0,0.0,1.0
634,Casual,1.0,0.0,0.0
635,Casual,1.0,0.0,0.0
636,Casual,1.0,0.0,0.0
637,Casual,1.0,0.0,0.0
638,ThinNlight,0.0,0.0,1.0
639,Casual,1.0,0.0,0.0
640,Casual,1.0,0.0,0.0
641,ThinNlight,0.0,0.0,1.0
642,Casual,1.0,0.0,0.0
643,ThinNlight,0.0,0.0,1.0
644,Casual,1.0,0.0,0.0
645,ThinNlight,0.0,0.0,1.0
646,Casual,1.0,0.0,0.0
647,Gaming,0.0,1.0,0.0
648,ThinNlight,0.0,0.0,1.0
649,ThinNlight,0.0,0.0,1.0
650,Casual,1.0,0.0,0.0
651,ThinNlight,0.0,0.0,1.0
652,ThinNlight,0.0,0.0,1.0
653,Casual,1.0,0.0,0.0
654,Casual,1.0,0.0,0.0
655,Gaming,0.0,1.0,0.0
