,Os,DOS,Mac,Windows
427,Windows,0.0,0.0,1.0
428,Windows,0.0,0.0,1.0
429,Windows,0.0,0.0,1.0
430,Windows,0.0,0.0,1.0
431,Windows,0.0,0.0,1.0
432,Windows,0.0,0.0,1.0
433,Windows,0.0,0.0,1.0
434,Windows,0.0,0.0,1.0
435,Windows,0.0,0.0,1.0
436,Windows,0.0,0.0,1.0
437,Windows,0.0,0.0,1.0
438,Windows,0.0,0.0,1.0
439,Windows,0.0,0.0,1.0
440,Windows,0.0,0.0,1.0
441,Windows,0.0,0.0,1.0
442,Windows,0.0,0.0,1.0
443,Windows,0.0,0.0,1.0
444,Windows,0.0,0.0,1.0
445,Windows,0.0,0.0,1.0
446,Windows,0.0,0.0,1.0
447,Windows,0.0,0.0,1.0
448,Windows,0.0,0.0,1.0
449,Windows,0.0,0.0,1.0
450,Windows,0.0,0.0,1.0
451,Windows,0.0,0.0,1.0
452,Windows,0.0,0.0,1.0
453,Windows,0.0,0.0,1.0
454,Windows,0.0,0.0,1.0
455,Windows,0.0,0.0,1.0
456,Windows,0.0,0.0,1.0
457,Windows,0.0,0.0,1.0
458,Windows,0.0,0.0,1.0
459,Windows,0.0,0.0,1.0
460,Windows,0.0,0.0,1.0
461,Windows,0.0,0.0,1.0
462,Windows,0.0,0.0,1.0
463,Windows,0.0,0.0,1.0
464,Windows,0.0,0.0,1.0
465,Windows,0.0,0.0,1.0
466,DOS,1.0,0.0,0.0
467,Windows,0.0,0.0,1.0
468,Windows,0.0,0.0,1.0
469,Windows,0.0,0.0,1.0
470,Windows,0.0,0.0,1.0
471,Windows,0.0,0.0,1.0
472,Windows,0.0,0.0,1.0
473,Windows,0.0,0.0,1.0
474,Windows,0.0,0.0,1.0
475,Windows,0.0,0.0,1.0
476,Windows,0.0,0.0,1.0
477,Windows,0.0,0.0,1.0
478,Windows,0.0,0.0,1.0
479,Windows,0.0,0.0,1.0
480,Windows,0.0,0.0,1.0
481,Windows,0.0,0.0,1.0
482,Windows,0.0,0.0,1.0
483,Windows,0.0,0.0,1.0
484,Windows,0.0,0.0,1.0
485,Windows,0.0,0.0,1.0
486,Windows,0.0,0.0,1.0
487,Windows,0.0,0.0,1.0
488,Windows,0.0,0.0,1.0
489,Windows,0.0,0.0,1.0
490,Windows,0.0,0.0,1.0
491,Windows,0.0,0.0,1.0
492,Windows,0.0,0.0,1.0
493,Windows,0.0,0.0,1.0
494,Windows,0.0,0.0,1.0
495,Windows,0.0,0.0,1.0
496,Windows,0.0,0.0,1.0
497,Windows,0.0,0.0,1.0
498,Windows,0.0,0.0,1.0
499,Windows,0.0,0.0,1.0
500,Windows,0.0,0.0,1.0
501,Windows,0.0,0.0,1.0
502,Windows,0.0,0.0,1.0
503,Windows,0.0,0.0,1.0
504,Windows,0.0,0.0,1.0
505,Windows,0.0,0.0,1.0
506,Windows,0.0,0.0,1.0
507,Windows,0.0,0.0,1.0
508,Windows,0.0,0.0,1.0
509,Windows,0.0,0.0,1.0
510,Windows,0.0,0.0,1.0
511,Windows,0.0,0.0,1.0
512,Windows,0.0,0.0,1.0
513,Windows,0.0,0.0,1.0
514,Windows,0.0,0.0,1.0
515,Windows,0.0,0.0,1.0
516,Windows,0.0,0.0,1.0
517,Windows,0.0,0.0,1.0
518,Windows,0.0,0.0,1.0
519,Windows,0.0,0.0,1.0
520,Windows,0.0,0.0,1.0
521,Windows,0.0,0.0,1.0
522,Windows,0.0,0.0,1.0
523,Windows,0.0,0.0,1.0
524,Windows,0.0,0.0,1.0
525,Windows,0.0,0.0,1.0
526,Windows,0.0,0.0,1.0
527,Windows,0.0,0.0,1.0
528,Windows,0.0,0.0,1.0
529,Windows,0.0,0.0,1.0
530,Windows,0.0,0.0,1.0
531,Windows,0.0,0.0,1.0
532,Windows,0.0,0.0,1.0
533,Windows,0.0,0.0,1.0
534,Windows,0.0,0.0,1.0
535,Windows,0.0,0.0,1.0
536,Windows,0.0,0.0,1.0
537,Windows,0.0,0.0,1.0
538,Windows,0.0,0.0,1.0
539,Windows,0.0,0.0,1.0
540,Windows,0.0,0.0,1.0
541,Windows,0.0,0.0,1.0
542,Windows,0.0,0.0,1.0
543,Windows,0.0,0.0,1.0
544,Windows,0.0,0.0,1.0
545,Windows,0.0,0.0,1.0
546,Windows,0.0,0.0,1.0
547,Windows,0.0,0.0,1.0
