,Processor_brand,AMD,Intel,M1
331,Intel,0.0,1.0,0.0
332,Intel,0.0,1.0,0.0
333,Intel,0.0,1.0,0.0
334,Intel,0.0,1.0,0.0
335,Intel,0.0,1.0,0.0
336,Intel,0.0,1.0,0.0
337,Intel,0.0,1.0,0.0
338,Intel,0.0,1.0,0.0
339,Intel,0.0,1.0,0.0
340,Intel,0.0,1.0,0.0
341,Intel,0.0,1.0,0.0
342,Intel,0.0,1.0,0.0
343,Intel,0.0,1.0,0.0
344,Intel,0.0,1.0,0.0
345,Intel,0.0,1.0,0.0
346,Intel,0.0,1.0,0.0
347,Intel,0.0,1.0,0.0
348,Intel,0.0,1.0,0.0
349,Intel,0.0,1.0,0.0
350,Intel,0.0,1.0,0.0
351,Intel,0.0,1.0,0.0
352,Intel,0.0,1.0,0.0
353,Intel,0.0,1.0,0.0
354,Intel,0.0,1.0,0.0
355,Intel,0.0,1.0,0.0
356,Intel,0.0,1.0,0.0
357,Intel,0.0,1.0,0.0
358,Intel,0.0,1.0,0.0
359,Intel,0.0,1.0,0.0
360,Intel,0.0,1.0,0.0
361,Intel,0.0,1.0,0.0
362,Intel,0.0,1.0,0.0
363,Intel,0.0,1.0,0.0
364,Intel,0.0,1.0,0.0
365,Intel,0.0,1.0,0.0
366,Intel,0.0,1.0,0.0
367,Intel,0.0,1.0,0.0
368,Intel,0.0,1.0,0.0
369,Intel,0.0,1.0,0.0
370,Intel,0.0,1.0,0.0
371,Intel,0.0,1.0,0.0
372,Intel,0.0,1.0,0.0
373,Intel,0.0,1.0,0.0
374,Intel,0.0,1.0,0.0
375,Intel,0.0,1.0,0.0
376,Intel,0.0,1.0,0.0
377,Intel,0.0,1.0,0.0
378,Intel,0.0,1.0,0.0
379,Intel,0.0,1.0,0.0
380,Intel,0.0,1.0,0.0
381,Intel,0.0,1.0,0.0
382,Intel,0.0,1.0,0.0
383,Intel,0.0,1.0,0.0
384,Intel,0.0,1.0,0.0
385,Intel,0.0,1.0,0.0
386,Intel,0.0,1.0,0.0
387,Intel,0.0,1.0,0.0
388,Intel,0.0,1.0,0.0
389,Intel,0.0,1.0,0.0
390,Intel,0.0,1.0,0.0
391,Intel,0.0,1.0,0.0
392,Intel,0.0,1.0,0.0
393,Intel,0.0,1.0,0.0
394,Intel,0.0,1.0,0.0
395,Intel,0.0,1.0,0.0
396,Intel,0.0,1.0,0.0
397,Intel,0.0,1.0,0.0
398,Intel,0.0,1.0,0.0
399,Intel,0.0,1.0,0.0
400,Intel,0.0,1.0,0.0
401,Intel,0.0,1.0,0.0
402,Intel,0.0,1.0,0.0
403,Intel,0.0,1.0,0.0
404,Intel,0.0,1.0,0.0
405,Intel,0.0,1.0,0.0
406,Intel,0.0,1.0,0.0
407,Intel,0.0,1.0,0.0
408,Intel,0.0,1.0,0.0
409,Intel,0.0,1.0,0.0
410,Intel,0.0,1.0,0.0
411,Intel,0.0,1.0,0.0
412,Intel,0.0,1.0,0.0
413,Intel,0.0,1.0,0.0
414,Intel,0.0,1.0,0.0
415,Intel,0.0,1.0,0.0
416,Intel,0.0,1.0,0.0
417,Intel,0.0,1.0,0.0
418,Intel,0.0,1.0,0.0
419,Intel,0.0,1.0,0.0
420,Intel,0.0,1.0,0.0
421,Intel,0.0,1.0,0.0
422,Intel,0.0,1.0,0.0
423,Intel,0.0,1.0,0.0
424,Intel,0.0,1.0,0.0
425,Intel,0.0,1.0,0.0
426,Intel,0.0,1.0,0.0
427,Intel,0.0,1.0,0.0
428,Intel,0.0,1.0,0.0
429,Intel,0.0,1.0,0.0
430,Intel,0.0,1.0,0.0
431,Intel,0.0,1.0,0.0
432,Intel,0.0,1.0,0.0
433,Intel,0.0,1.0,0.0
434,Intel,0.0,1.0,0.0
435,Intel,0.0,1.0,0.0
436,Intel,0.0,1.0,0.0
437,Intel,0.0,1.0,0.0
438,Intel,0.0,1.0,0.0
439,Intel,0.0,1.0,0.0
440,Intel,0.0,1.0,0.0
441,Intel,0.0,1.0,0.0
442,Intel,0.0,1.0,0.0
443,Intel,0.0,1.0,0.0
444,Intel,0.0,1.0,0.0
445,Intel,0.0,1.0,0.0
446,Intel,0.0,1.0,0.0
447,Intel,0.0,1.0,0.0
448,Intel,0.0,1.0,0.0
449,Intel,0.0,1.0,0.0
450,Intel,0.0,1.0,0.0
451,Intel,0.0,1.0,0.0
452,Intel,0.0,1.0,0.0
453,Intel,0.0,1.0,0.0
454,Intel,0.0,1.0,0.0
455,Intel,0.0,1.0,0.0
456,Intel,0.0,1.0,0.0
457,Intel,0.0,1.0,0.0
458,Intel,0.0,1.0,0.0
459,Intel,0.0,1.0,0.0
460,Intel,0.0,1.0,0.0
461,Intel,0.0,1.0,0.0
462,Intel,0.0,1.0,0.0
463,Intel,0.0,1.0,0.0
464,Intel,0.0,1.0,0.0
465,Intel,0.0,1.0,0.0
466,Intel,0.0,1.0,0.0
467,Intel,0.0,1.0,0.0
468,Intel,0.0,1.0,0.0
469,Intel,0.0,1.0,0.0
470,Intel,0.0,1.0,0.0
471,Intel,0.0,1.0,0.0
472,Intel,0.0,1.0,0.0
473,Intel,0.0,1.0,0.0
