,Brand,Processor_brand,Processor_name,Processor_gnrtn,Ram_gb,Ram_type,Ssd,Hdd,Os,Os_bit,Graphic_card_gb,Weight,Warranty,Touchscreen,Msoffice,Price,Rating,Number of ratings,Number of reviews
156,Lenovo,Intel,Core i3,10th,8,DDR4,512,1024,Windows,32,0,Casual,1,No,No,38999,3,7,2
157,ASUS,Intel,Core i3,11th,8,DDR4,512,1024,Windows,32,0,Casual,1,No,No,41500,3,4,0
158,acer,Intel,Core i3,11th,4,DDR4,512,1024,Windows,32,0,Casual,1,No,No,36999,3,0,0
159,DELL,Intel,Core i3,11th,8,DDR4,512,1024,Windows,32,0,Casual,1,No,No,42900,3,0,0
160,ASUS,Intel,Celeron Dual,Not Available,4,LPDDR4,512,512,Windows,32,0,Casual,1,No,No,21490,3,818,113
161,DELL,Intel,Core i3,11th,8,DDR4,512,1024,Windows,32,0,Casual,1,No,No,41480,3,25,4
162,ASUS,Intel,Core i3,10th,8,DDR4,512,1024,Windows,64,0,Casual,1,No,No,32990,2,12,0
163,ASUS,Intel,Core i3,11th,8,DDR4,512,1024,Windows,64,0,Casual,1,No,No,38680,3,17,1
164,ASUS,Intel,Celeron Dual,Not Available,4,LPDDR4,512,512,Windows,32,0,Casual,1,No,No,23990,4,974,170
165,DELL,Intel,Core i3,10th,8,DDR4,512,1024,Windows,64,0,ThinNlight,1,No,No,40390,3,83,15
166,ASUS,Intel,Core i3,10th,4,DDR4,512,1024,Windows,64,0,ThinNlight,1,No,No,33990,3,31,6
167,ASUS,Intel,Celeron Dual,Not Available,4,LPDDR4,512,512,Windows,32,0,Casual,1,No,No,20490,3,637,91
168,DELL,Intel,Core i3,10th,8,DDR4,256,1024,Windows,64,0,ThinNlight,1,No,Yes,41490,5,7,5
169,DELL,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64,0,Casual,1,No,No,45490,4,207,16
170,DELL,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64,0,Casual,1,No,No,44490,4,844,103
171,ASUS,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64,0,Casual,1,No,Yes,41890,4,53,6
172,DELL,Intel,Core i3,11th,4,DDR4,256,1024,Windows,64,0,ThinNlight,1,No,Yes,42990,4,62,7
173,acer,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64,0,Casual,1,No,No,40990,4,38,2
174,DELL,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64,0,ThinNlight,1,No,No,48990,4,724,92
175,DELL,Intel,Core i3,11th,4,DDR4,256,1024,Windows,64,0,ThinNlight,1,No,Yes,43590,3,0,0
176,DELL,Intel,Core i3,10th,4,DDR4,256,1024,Windows,64,0,Casual,1,No,No,44690,4,9,0
177,ASUS,Intel,Core i3,10th,4,DDR4,256,1024,Windows,64,0,Casual,1,No,No,40990,3,0,0
178,DELL,Intel,Core i3,11th,4,DDR4,256,1024,Windows,64,0,ThinNlight,1,No,Yes,43990,3,0,0
179,DELL,Intel,Core i3,10th,4,DDR4,256,1024,Windows,64,0,ThinNlight,1,No,Yes,41390,4,56,7
180,DELL,Intel,Core i3,10th,4,DDR4,256,1024,Windows,64,0,ThinNlight,1,No,Yes,44290,3,0,0
181,DELL,Intel,Core i3,11th,4,DDR4,256,1024,Windows,64,0,Casual,1,No,No,48999,3,0,0
182,DELL,Intel,Core i3,11th,4,DDR4,256,1024,Windows,64,0,ThinNlight,1,No,Yes,39990,3,170,11
183,DELL,Intel,Core i3,10th,8,DDR4,256,1024,Windows,64,0,ThinNlight,1,No,No,46390,2,95,5
184,ASUS,Intel,Celeron Dual,Not Available,4,LPDDR4,512,512,Windows,64,0,Casual,1,No,No,18990,3,197,25
185,ASUS,Intel,Celeron Dual,Not Available,4,LPDDR4,512,512,Windows,32,0,Casual,1,No,No,17990,3,1180,148
186,HP,Intel,Celeron Dual,Not Available,4,DDR4,512,512,Windows,64,0,Casual,1,No,No,26470,3,232,23
187,HP,Intel,Celeron Dual,Not Available,4,DDR4,512,512,Windows,64,0,Casual,1,No,No,27990,3,596,65
188,Lenovo,Intel,Celeron Dual,Not Available,4,DDR4,512,1024,Windows,32,0,Casual,1,No,No,29999,3,19,1
