,Brand,Processor_brand,Processor_name,Ram_gb,Ssd,Hdd,Os,Os_bit,Graphic_card_gb,Weight,Warranty,Touchscreen,Msoffice,Price,Number of ratings,Number of reviews
23,ASUS,Intel,Core i3,4,256,0,Windows,64,0,ThinNlight,1,0,0,34429,37,6
24,Lenovo,Intel,Core i3,8,256,0,Windows,32,0,ThinNlight,2,0,1,37990,2080,235
25,ASUS,Intel,Core i3,4,256,0,Windows,32,0,Casual,1,0,1,35990,1479,181
26,ASUS,Intel,Core i3,8,256,0,Windows,64,0,ThinNlight,1,0,0,33980,67,3
27,HP,Intel,Core i3,8,256,0,Windows,64,0,ThinNlight,1,0,1,39990,273,30
28,DELL,Intel,Core i3,8,256,0,Windows,64,0,ThinNlight,1,0,1,39490,1267,171
29,HP,Intel,Core i3,8,256,0,Windows,64,0,Casual,1,1,1,53990,14,0
30,acer,Intel,Core i3,8,256,0,Windows,64,0,ThinNlight,1,0,0,38990,0,0
31,ASUS,Intel,Core i3,8,256,0,Windows,64,0,ThinNlight,1,0,0,37990,284,39
32,ASUS,Intel,Core i3,8,256,0,Windows,64,0,Casual,1,0,1,37890,44,5
33,Lenovo,Intel,Core i3,8,256,0,Windows,64,0,ThinNlight,1,0,0,38990,33,4
34,Lenovo,Intel,Core i3,8,256,0,Windows,64,0,ThinNlight,1,0,0,37990,286,36
35,DELL,Intel,Core i3,8,256,0,Windows,64,0,ThinNlight,1,0,1,41990,10,5
36,ASUS,Intel,Core i3,8,256,0,Windows,64,0,Casual,1,0,0,45990,816,147
37,Lenovo,Intel,Core i3,8,256,0,Windows,64,0,ThinNlight,1,0,0,39990,543,65
38,DELL,Intel,Core i3,8,256,0,Windows,64,0,ThinNlight,1,0,0,42490,9,1
39,DELL,Intel,Core i3,4,256,0,Windows,64,0,ThinNlight,1,0,1,36990,1178,137
40,Lenovo,Intel,Core i3,8,256,0,Windows,64,0,Casual,1,1,1,53990,299,41
41,ASUS,Intel,Core i3,8,256,0,Windows,64,0,ThinNlight,1,0,0,36990,20,1
42,Lenovo,Intel,Core i3,4,256,0,Windows,64,0,Casual,2,0,0,38940,758,64
43,DELL,Intel,Core i3,4,256,0,Windows,64,0,Casual,1,0,1,39490,634,64
44,Lenovo,Intel,Core i3,8,256,0,Windows,64,0,Casual,2,0,1,39999,4,0
45,DELL,Intel,Core i3,8,256,0,Windows,64,0,ThinNlight,1,0,0,42990,17,2
46,DELL,Intel,Core i3,8,256,0,Windows,64,0,Casual,1,1,0,49990,24,5
47,DELL,Intel,Core i3,8,256,0,Windows,64,0,ThinNlight,1,0,1,41490,1753,165
48,DELL,Intel,Core i3,8,256,0,Windows,64,0,ThinNlight,1,0,0,41990,216,21
49,Lenovo,Intel,Core i3,8,256,0,Windows,64,0,ThinNlight,1,0,1,41990,1084,160
50,ASUS,Intel,Core i3,8,256,0,Windows,64,0,Casual,1,0,0,38490,19,3
51,Lenovo,Intel,Core i3,4,256,0,Windows,64,0,ThinNlight,1,0,1,38990,106,13
52,Lenovo,Intel,Core i3,4,256,0,Windows,64,0,Casual,1,0,1,44990,42,4
53,Lenovo,Intel,Core i3,4,256,0,Windows,64,0,ThinNlight,1,0,0,36490,0,0
54,Lenovo,Intel,Core i3,8,256,0,Windows,32,0,Casual,1,0,0,38970,0,0
55,HP,Intel,Core i3,4,256,0,Windows,64,0,ThinNlight,1,0,1,44900,1029,107
56,MSI,Intel,Core i3,4,256,0,Windows,64,0,ThinNlight,1,0,0,38990,53,11
57,DELL,Intel,Core i3,4,256,0,Windows,64,0,ThinNlight,1,0,0,44427,0,0
58,ASUS,Intel,Core i3,4,256,0,Windows,64,0,Casual,1,0,0,35990,0,0
59,Lenovo,Intel,Core i3,4,256,0,Windows,64,0,Casual,1,0,1,40200,48,1
60,Lenovo,Intel,Core i3,4,256,0,Windows,32,0,Casual,1,0,0,40990,3,0
61,DELL,Intel,Core i3,4,256,0,Windows,64,0,ThinNlight,1,0,0,42490,0,0
62,acer,Intel,Celeron Dual,4,512,512,Windows,32,0,Casual,1,0,0,23990,61,4
63,DELL,Intel,Core i3,4,256,0,Windows,64,0,Casual,1,1,0,71999,97,13
64,ASUS,Intel,Core i3,4,256,0,Windows,64,0,Casual,1,0,0,39990,181,19
65,Lenovo,Intel,Core i3,4,256,0,Windows,64,0,Casual,1,0,1,41998,529,39
66,ASUS,Intel,Core i3,4,256,0,Windows,32,0,Casual,1,0,0,41990,0,0
67,Lenovo,Intel,Core i3,4,256,0,Windows,64,0,Casual,2,0,1,39999,0,0
68,ASUS,Intel,Core i3,4,256,0,Windows,32,0,Casual,1,0,0,39990,0,0
69,Lenovo,Intel,Core i3,4,256,0,Windows,64,0,Casual,1,0,0,39998,10,1
70,HP,Intel,Core i3,4,256,0,Windows,64,0,ThinNlight,1,0,1,42490,5205,561
71,Lenovo,Intel,Core i3,4,256,0,Windows,32,0,Casual,1,0,0,41990,3,0
72,ASUS,Intel,Core i3,4,256,0,Windows,32,0,Casual,1,0,0,48490,0,0
73,HP,Intel,Core i3,4,256,0,Windows,64,0,ThinNlight,1,0,1,44376,1090,96
74,DELL,Intel,Core i3,4,256,0,Windows,32,0,Casual,1,0,0,43900,0,0
75,DELL,Intel,Core i3,4,256,0,Windows,64,0,Casual,1,0,0,46690,0,0
76,Lenovo,Intel,Core i3,4,256,0,Windows,32,0,Casual,1,0,0,40990,1,1
77,DELL,Intel,Core i3,4,256,0,Windows,64,0,ThinNlight,1,0,0,39990,44,2
78,Lenovo,Intel,Core i3,4,256,0,Windows,64,0,ThinNlight,1,0,0,43990,0,0
79,ASUS,Intel,Core i3,4,256,0,Windows,64,0,ThinNlight,1,0,0,36990,70,9
80,DELL,Intel,Core i3,8,256,0,Windows,64,0,Casual,1,0,0,48500,0,0
81,ASUS,Intel,Core i3,8,256,0,Windows,64,0,Casual,1,0,0,48990,0,0
82,ASUS,Intel,Celeron Dual,4,512,512,Windows,32,0,Casual,1,0,0,23490,632,92
83,HP,Intel,Core i3,4,256,0,Windows,64,0,Casual,1,1,1,54238,71,8
84,ASUS,Intel,Core i3,8,512,0,Windows,64,0,Casual,1,0,0,37990,990,108
85,HP,Intel,Core i3,8,512,0,Windows,64,0,ThinNlight,1,0,1,42990,158,18
86,HP,Intel,Core i3,8,512,0,Windows,64,0,ThinNlight,1,0,1,42990,681,59
87,ASUS,Intel,Core i3,4,512,0,Windows,64,0,Casual,1,0,0,35990,130,12
88,ASUS,Intel,Core i3,8,512,0,Windows,64,0,Casual,1,0,0,42990,30,4
89,ASUS,Intel,Core i3,8,512,0,Windows,32,0,Casual,1,1,1,51990,6,2
90,ASUS,Intel,Core i3,8,512,0,Windows,64,0,Casual,1,0,0,48990,174,30
91,ASUS,Intel,Core i3,8,512,0,Windows,64,0,Casual,1,0,0,42990,40,7
92,Lenovo,Intel,Core i3,8,512,0,Windows,64,0,ThinNlight,1,0,0,38990,13,1
93,DELL,Intel,Core i3,8,512,0,Windows,64,0,ThinNlight,1,0,0,45990,184,29
94,HP,Intel,Core i3,8,512,0,Windows,64,0,ThinNlight,1,0,1,42490,1296,126
95,HP,Intel,Core i3,8,512,0,Windows,64,0,ThinNlight,1,0,1,43970,571,56
96,ASUS,Intel,Core i3,4,512,0,Windows,64,0,ThinNlight,1,0,1,39990,2551,297
97,MSI,Intel,Core i3,8,512,0,Windows,64,0,ThinNlight,1,0,0,48990,17,3
98,HP,Intel,Core i3,8,512,0,Windows,64,0,Casual,1,0,1,54990,35,3
99,MSI,Intel,Core i3,8,512,0,Windows,64,0,ThinNlight,1,0,0,40990,118,17
100,ASUS,Intel,Core i3,8,512,0,Windows,64,0,ThinNlight,1,0,1,41990,0,0
101,Lenovo,Intel,Core i3,8,512,0,Windows,64,0,ThinNlight,1,1,0,54990,245,34
102,ASUS,Intel,Core i3,8,512,0,Windows,64,0,Casual,1,0,1,44990,2058,305
103,HP,Intel,Core i3,8,512,0,Windows,64,0,Casual,1,0,0,41250,117,11
104,HP,Intel,Core i3,8,512,0,Windows,64,0,ThinNlight,1,0,0,44990,0,0
105,ASUS,Intel,Core i3,8,512,0,Windows,64,0,Casual,1,0,0,42990,74,11
106,DELL,Intel,Core i3,8,512,0,Windows,64,0,Casual,1,1,0,60790,10,1
107,HP,Intel,Core i3,8,512,0,Windows,64,0,Casual,1,0,0,45650,39,4
108,DELL,Intel,Core i3,8,512,0,Windows,64,0,ThinNlight,1,0,1,41990,29,7
109,DELL,Intel,Core i3,8,512,0,Windows,64,0,ThinNlight,1,0,0,45490,43,4
110,ASUS,Intel,Core i3,8,512,0,Windows,64,0,ThinNlight,1,0,1,44990,0,0
111,Lenovo,Intel,Core i3,8,512,0,Windows,64,0,ThinNlight,2,0,1,42990,984,99
112,HP,Intel,Core i3,4,512,0,Windows,64,0,ThinNlight,1,0,1,45490,523,66
113,HP,Intel,Core i3,4,512,0,Windows,32,0,Casual,1,0,0,38799,30,1
